section_id,student_id
DSMM_A,BA050-24
DSMM_A,IPM020-21
DSMM_A,IPM079-21
DSMM_A,IPM081-21
DSMM_A,IPM097-21
DSMM_A,IPM105-21
DSMM_A,IPM110-21
DSMM_A,M016-24
DSMM_A,M018-24
DSMM_A,M023-24
DSMM_A,M039-24
DSMM_A,M040-24
DSMM_A,M044-24
DSMM_A,M049-24
DSMM_A,M066-24
DSMM_A,M112-24
DSMM_A,M129-24
DSMM_A,M133-24
DSMM_A,M135-24
DSMM_A,M151-24
DSMM_A,M169-24
DSMM_A,M182-24
DSMM_A,M210-24
DSMM_A,M231-24
DSMM_A,M244-23
DSMM_A,M258-24
DSMM_A,M260-24
DSMM_A,BA004-23
DSMM_A,BA009-24
DSMM_A,BA024-24
DSMM_A,BA031-24
DSMM_A,BA042-24
DSMM_A,H042-24
DSMM_A,IPM002-21
DSMM_A,IPM008-21
DSMM_A,IPM037-21
DSMM_A,IPM050-21
DSMM_A,IPM052-21
DSMM_A,IPM056-21
DSMM_A,IPM058-21
DSMM_A,IPM062-21
DSMM_A,IPM077-21
DSMM_A,IPM100-21
DSMM_A,IPM123-21
DSMM_A,M020-24
DSMM_A,M025-24
DSMM_A,M035-24
DSMM_A,M042-24
DSMM_A,M046-24
DSMM_A,M070-24
DSMM_A,M096-24
DSMM_A,M099-24
DSMM_A,M114-24
DSMM_A,M124-24
DSMM_A,M127-24
DSMM_A,M147-24
DSMM_A,M149-24
DSMM_A,M153-24
DSMM_A,M189-24
DSMM_A,M191-24
DSMM_A,M199-24
DSMM_A,M200-24
DSMM_A,M213-24
DSMM_A,M219-24
DSMM_A,M221-24
DSMM_A,M238-24
DSMM_A,M242-24
DSMM_A,M247-24
DSMM_A,M256-24
DSMM_A,M264-24
DSMM_B,IPM023-21
DSMM_B,IPM051-21
DSMM_B,IPM057-21
DSMM_B,IPM063-21
DSMM_B,IPM070-21
DSMM_B,IPM094-21
DSMM_B,IPM099-21
DSMM_B,M010-23
DSMM_B,M013-24
DSMM_B,M015-24
DSMM_B,M029-24
DSMM_B,M031-24
DSMM_B,M040-23
DSMM_B,M053-24
DSMM_B,M082-24
DSMM_B,M099-23
DSMM_B,M115-24
DSMM_B,M123-24
DSMM_B,M136-24
DSMM_B,M144-24
DSMM_B,M163-24
DSMM_B,M180-24
DSMM_B,M186-23
DSMM_B,M192-24
DSMM_B,M211-24
DSMM_B,M251-23
DSMM_B,M263-24
DSMM_B,BA017-24
DSMM_B,BA023-24
DSMM_B,BA032-24
DSMM_B,BA035-24
DSMM_B,H052-24
DSMM_B,IPM003-21
DSMM_B,IPM006-21
DSMM_B,IPM009-21
DSMM_B,IPM034-21
DSMM_B,IPM041-21
DSMM_B,IPM053-21
DSMM_B,IPM078-21
DSMM_B,IPM102-21
DSMM_B,IPM117-21
DSMM_B,IPM122-21
DSMM_B,M004-24
DSMM_B,M043-24
DSMM_B,M051-24
DSMM_B,M063-24
DSMM_B,M075-24
DSMM_B,M084-24
DSMM_B,M089-24
DSMM_B,M103-24
DSMM_B,M105-23
DSMM_B,M106-24
DSMM_B,M125-23
DSMM_B,M128-24
DSMM_B,M134-24
DSMM_B,M149-23
DSMM_B,M150-24
DSMM_B,M170-24
DSMM_B,M171-24
DSMM_B,M190-24
DSMM_B,M194-24
DSMM_B,M198-24
DSMM_B,M209-24
DSMM_B,M216-24
DSMM_B,M220-24
DSMM_B,M226-24
DSMM_B,M228-24
DSMM_B,M239-24
DSMM_B,M261-24
DSMM_B,M265-24
PBM_A,BA009-24
PBM_A,BA022-24
PBM_A,BA024-24
PBM_A,BA033-24
PBM_A,IPM011-21
PBM_A,IPM017-21
PBM_A,IPM040-21
PBM_A,IPM060-21
PBM_A,IPM100-21
PBM_A,IPM118-21
PBM_A,M001-24
PBM_A,M014-24
PBM_A,M020-24
PBM_A,M025-24
PBM_A,M035-24
PBM_A,M042-24
PBM_A,M057-24
PBM_A,M072-24
PBM_A,M079-24
PBM_A,M099-24
PBM_A,M104-24
PBM_A,M114-24
PBM_A,M116-24
PBM_A,M124-24
PBM_A,M141-24
PBM_A,M147-24
PBM_A,M155-24
PBM_A,M191-24
PBM_A,M200-24
PBM_A,M204-24
PBM_A,M219-24
PBM_A,M225-24
PBM_A,M238-24
PBM_A,M247-24
PBM_A,M251-24
PBM_A,M256-24
PBM_A,BA007-24
PBM_A,BA015-24
PBM_A,BA018-24
PBM_A,BA031-24
PBM_A,BA036-24
PBM_A,BA040-24
PBM_A,IPM005-21
PBM_A,IPM052-21
PBM_A,IPM058-21
PBM_A,IPM071-21
PBM_A,IPM079-21
PBM_A,IPM097-21
PBM_A,IPM123-21
PBM_A,M003-24
PBM_A,M018-24
PBM_A,M039-24
PBM_A,M040-24
PBM_A,M044-24
PBM_A,M052-24
PBM_A,M120-24
PBM_A,M122-24
PBM_A,M149-24
PBM_A,M169-24
PBM_A,M185-24
PBM_A,M186-24
PBM_A,M206-24
PBM_A,M215-24
PBM_A,M217-24
PBM_A,M221-24
PBM_A,M223-24
PBM_A,M227-24
PBM_A,M245-24
PBM_A,M254-24
PBM_A,M260-24
PBM_B,BA004-24
PBM_B,BA025-24
PBM_B,IPM018-21
PBM_B,IPM032-21
PBM_B,IPM041-21
PBM_B,IPM088-21
PBM_B,M006-24
PBM_B,M034-24
PBM_B,M043-24
PBM_B,M058-24
PBM_B,M065-24
PBM_B,M084-24
PBM_B,M089-24
PBM_B,M108-24
PBM_B,M118-24
PBM_B,M128-24
PBM_B,M130-24
PBM_B,M132-24
PBM_B,M134-24
PBM_B,M142-24
PBM_B,M168-24
PBM_B,M177-24
PBM_B,M196-24
PBM_B,M205-24
PBM_B,M209-24
PBM_B,M226-24
PBM_B,M232-24
PBM_B,M235-24
PBM_B,M248-24
PBM_B,M259-24
PBM_B,M267-24
PBM_B,M269-24
PBM_B,BA003-24
PBM_B,BA014-24
PBM_B,BA028-24
PBM_B,BA030-24
PBM_B,BA035-24
PBM_B,BA037-24
PBM_B,BA039-24
PBM_B,BA046-24
PBM_B,BA052-24
PBM_B,IPM006-21
PBM_B,IPM021-21
PBM_B,IPM061-21
PBM_B,IPM070-21
PBM_B,IPM072-21
PBM_B,IPM078-21
PBM_B,IPM122-21
PBM_B,M002-24
PBM_B,M011-24
PBM_B,M015-24
PBM_B,M022-24
PBM_B,M029-24
PBM_B,M038-24
PBM_B,M041-24
PBM_B,M045-24
PBM_B,M091-24
PBM_B,M105-23
PBM_B,M106-24
PBM_B,M123-24
PBM_B,M126-24
PBM_B,M144-24
PBM_B,M154-24
PBM_B,M170-24
PBM_B,M175-24
PBM_B,M201-24
PBM_B,M211-24
PBM_B,M214-24
PBM_B,M265-24
PBM_B,M266-24
SDM_A,IPM022-21
SDM_A,IPM040-21
SDM_A,IPM060-21
SDM_A,IPM079-21
SDM_A,IPM100-21
SDM_A,IPM110-21
SDM_A,M003-24
SDM_A,M014-24
SDM_A,M018-24
SDM_A,M035-24
SDM_A,M049-24
SDM_A,M068-24
SDM_A,M093-24
SDM_A,M096-24
SDM_A,M098-24
SDM_A,M116-24
SDM_A,M120-24
SDM_A,M127-24
SDM_A,M135-24
SDM_A,M141-24
SDM_A,M145-24
SDM_A,M182-24
SDM_A,M185-24
SDM_A,M199-24
SDM_A,M200-24
SDM_A,M208-24
SDM_A,M210-24
SDM_A,M215-24
SDM_A,M217-24
SDM_A,M225-24
SDM_A,M227-24
SDM_A,M229-24
SDM_A,M231-24
SDM_A,M244-23
SDM_A,M247-24
SDM_A,M249-23
SDM_A,BA047-24
SDM_A,IPM005-21
SDM_A,IPM058-21
SDM_A,IPM081-21
SDM_A,IPM116-21
SDM_A,IPM118-21
SDM_A,IPM123-21
SDM_A,M001-24
SDM_A,M020-24
SDM_A,M034-23
SDM_A,M044-24
SDM_A,M046-24
SDM_A,M048-24
SDM_A,M066-24
SDM_A,M107-24
SDM_A,M110-24
SDM_A,M125-24
SDM_A,M133-24
SDM_A,M147-24
SDM_A,M149-24
SDM_A,M155-24
SDM_A,M164-24
SDM_A,M176-24
SDM_A,M178-24
SDM_A,M186-24
SDM_A,M206-24
SDM_A,M221-24
SDM_A,M234-24
SDM_A,M242-24
SDM_A,M251-24
SDM_A,M256-24
SDM_A,M258-24
SDM_A,M262-24
SDM_A,M270-24
SDM_B,IPM009-21
SDM_B,IPM053-21
SDM_B,IPM094-21
SDM_B,IPM107-21
SDM_B,IPM122-21
SDM_B,IPM128-21
SDM_B,M006-24
SDM_B,M010-23
SDM_B,M015-24
SDM_B,M033-24
SDM_B,M038-24
SDM_B,M041-24
SDM_B,M089-24
SDM_B,M091-24
SDM_B,M101-24
SDM_B,M111-24
SDM_B,M113-24
SDM_B,M115-24
SDM_B,M118-24
SDM_B,M123-24
SDM_B,M132-24
SDM_B,M150-24
SDM_B,M161-24
SDM_B,M165-24
SDM_B,M168-24
SDM_B,M173-24
SDM_B,M192-24
SDM_B,M205-24
SDM_B,M208-23
SDM_B,M235-24
SDM_B,M239-24
SDM_B,M253-24
SDM_B,M265-24
SDM_B,BA003-24
SDM_B,BA037-24
SDM_B,BA039-24
SDM_B,BA046-24
SDM_B,BA048-24
SDM_B,IPM006-21
SDM_B,IPM013-21
SDM_B,IPM016-21
SDM_B,IPM044-21
SDM_B,IPM070-21
SDM_B,IPM078-21
SDM_B,IPM080-21
SDM_B,IPM117-21
SDM_B,M002-24
SDM_B,M011-24
SDM_B,M022-24
SDM_B,M029-24
SDM_B,M031-24
SDM_B,M045-24
SDM_B,M051-24
SDM_B,M067-24
SDM_B,M138-24
SDM_B,M146-24
SDM_B,M157-24
SDM_B,M171-24
SDM_B,M175-24
SDM_B,M186-23
SDM_B,M220-24
SDM_B,M228-24
SDM_B,M241-24
SDM_B,M243-24
SDM_B,M246-24
SDM_B,M255-24
SDM_B,M263-24
SDM_B,M264-24
SDM_B,M267-24
CRM_A,BA013-24
CRM_A,BA020-24
CRM_A,BA031-24
CRM_A,BA044-24
CRM_A,H072-23
CRM_A,IPM002-21
CRM_A,IPM015-21
CRM_A,IPM020-21
CRM_A,IPM040-21
CRM_A,IPM097-21
CRM_A,IPM105-21
CRM_A,M001-24
CRM_A,M014-24
CRM_A,M023-24
CRM_A,M046-24
CRM_A,M068-24
CRM_A,M079-24
CRM_A,M116-24
CRM_A,M141-24
CRM_A,M151-24
CRM_A,M164-24
CRM_A,M176-24
CRM_A,M195-24
CRM_A,M213-24
CRM_A,M219-24
CRM_A,M223-24
CRM_A,M238-24
CRM_A,M250-24
CRM_A,M260-24
CRM_A,M264-24
CRM_A,M270-24
CRM_A,BA009-24
CRM_A,BA054-24
CRM_A,IPM008-21
CRM_A,IPM022-21
CRM_A,IPM037-21
CRM_A,IPM045-21
CRM_A,IPM067-21
CRM_A,IPM077-21
CRM_A,M010-24
CRM_A,M016-24
CRM_A,M030-24
CRM_A,M034-23
CRM_A,M048-24
CRM_A,M055-24
CRM_A,M057-24
CRM_A,M076-24
CRM_A,M099-24
CRM_A,M112-24
CRM_A,M122-24
CRM_A,M125-24
CRM_A,M129-24
CRM_A,M133-24
CRM_A,M155-24
CRM_A,M178-24
CRM_A,M204-24
CRM_A,M217-24
CRM_A,M231-24
CRM_A,M234-24
CRM_A,M240-24
CRM_A,M242-24
CRM_A,M244-23
CRM_A,M262-24
CRM_B,BA010-24
CRM_B,BA012-24
CRM_B,BA021-24
CRM_B,IPM003-21
CRM_B,IPM023-21
CRM_B,IPM034-21
CRM_B,IPM039-21
CRM_B,IPM048-21
CRM_B,IPM053-21
CRM_B,IPM055-21
CRM_B,IPM057-21
CRM_B,IPM059-21
CRM_B,IPM088-21
CRM_B,IPM099-21
CRM_B,IPM112-21
CRM_B,M006-24
CRM_B,M013-24
CRM_B,M022-24
CRM_B,M034-24
CRM_B,M038-24
CRM_B,M051-24
CRM_B,M065-24
CRM_B,M075-24
CRM_B,M082-24
CRM_B,M099-23
CRM_B,M126-24
CRM_B,M136-24
CRM_B,M138-24
CRM_B,M146-24
CRM_B,M149-23
CRM_B,M163-24
CRM_B,M208-23
CRM_B,M237-24
CRM_B,M241-24
CRM_B,M249-24
CRM_B,M251-23
CRM_B,BA006-24
CRM_B,BA032-24
CRM_B,BA048-24
CRM_B,IPM009-21
CRM_B,IPM032-21
CRM_B,IPM051-21
CRM_B,IPM063-21
CRM_B,IPM094-21
CRM_B,IPM107-21
CRM_B,M010-23
CRM_B,M017-24
CRM_B,M019-24
CRM_B,M031-24
CRM_B,M033-24
CRM_B,M041-24
CRM_B,M053-24
CRM_B,M073-24
CRM_B,M089-24
CRM_B,M101-24
CRM_B,M111-24
CRM_B,M113-24
CRM_B,M125-23
CRM_B,M132-24
CRM_B,M165-24
CRM_B,M168-24
CRM_B,M170-24
CRM_B,M186-23
CRM_B,M188-24
CRM_B,M190-24
CRM_B,M200-23
CRM_B,M216-24
CRM_B,M243-24
CRM_B,M263-24
CRM_B,M269-24
CS_A,BA011-24
CS_A,BA018-24
CS_A,BA038-24
CS_A,H001-24
CS_A,H003-24
CS_A,H004-24
CS_A,H010-24
CS_A,H015-24
CS_A,H023-24
CS_A,H053-24
CS_A,IPM017-21
CS_A,IPM033-21
CS_A,IPM040-21
CS_A,IPM045-21
CS_A,IPM060-21
CS_A,IPM097-21
CS_A,IPM116-21
CS_A,M003-24
CS_A,M016-24
CS_A,M027-24
CS_A,M072-24
CS_A,M083-24
CS_A,M090-24
CS_A,M093-24
CS_A,M096-24
CS_A,M129-24
CS_A,M131-24
CS_A,M135-24
CS_A,M139-24
CS_A,M147-24
CS_A,M159-24
CS_A,M166-24
CS_A,M182-24
CS_A,M186-24
CS_A,M195-24
CS_A,M197-24
CS_A,M208-24
CS_A,M210-24
CS_A,M213-24
CS_A,M223-24
CS_A,M250-24
CS_A,M258-24
CS_A,BA007-24
CS_A,BA033-24
CS_A,BA042-24
CS_A,BA051-24
CS_A,H036-24
CS_A,H038-24
CS_A,H048-24
CS_A,H049-24
CS_A,H051-24
CS_A,IPM015-21
CS_A,IPM079-21
CS_A,M005-24
CS_A,M012-24
CS_A,M014-24
CS_A,M032-24
CS_A,M085-24
CS_A,M104-24
CS_A,M114-24
CS_A,M120-24
CS_A,M141-24
CS_A,M171-23
CS_A,M206-24
CS_A,M225-24
CS_A,M251-24
CS_B,BA017-24
CS_B,H004-23
CS_B,H007-24
CS_B,H009-24
CS_B,H025-24
CS_B,H043-24
CS_B,H050-24
CS_B,H059-24
CS_B,IPM041-21
CS_B,IPM070-21
CS_B,IPM078-21
CS_B,M034-24
CS_B,M051-24
CS_B,M069-24
CS_B,M071-24
CS_B,M095-24
CS_B,M099-23
CS_B,M121-24
CS_B,M123-24
CS_B,M152-24
CS_B,M168-24
CS_B,M171-24
CS_B,M177-24
CS_B,M190-24
CS_B,M196-24
CS_B,M198-24
CS_B,M201-24
CS_B,M205-24
CS_B,M216-24
CS_B,M241-24
CS_B,M244-24
CS_B,M246-24
CS_B,M249-24
CS_B,M257-24
CS_B,H022-24
CS_B,H029-24
CS_B,H041-24
CS_B,IPM003-21
CS_B,IPM018-21
CS_B,IPM128-21
CS_B,M002-24
CS_B,M024-24
CS_B,M031-24
CS_B,M033-24
CS_B,M036-24
CS_B,M056-24
CS_B,M063-24
CS_B,M065-24
CS_B,M118-24
CS_B,M154-24
CS_B,M157-24
CS_B,M184-24
CS_B,M188-24
CS_B,M194-24
CS_B,M203-24
CS_B,M214-24
CS_B,M218-24
CS_B,M222-24
CS_B,M228-24
CS_B,M235-24
CS_B,M251-23
CS_B,M261-24
CS_B,M267-24
IMKT_A,BA015-24
IMKT_A,BA026-24
IMKT_A,BA029-24
IMKT_A,BA040-24
IMKT_A,BA049-24
IMKT_A,IPM011-21
IMKT_A,IPM033-21
IMKT_A,IPM114-21
IMKT_A,IPM118-21
IMKT_A,M023-24
IMKT_A,M048-24
IMKT_A,M055-24
IMKT_A,M057-24
IMKT_A,M085-24
IMKT_A,M102-24
IMKT_A,M105-24
IMKT_A,M116-24
IMKT_A,M137-24
IMKT_A,M159-24
IMKT_A,M204-24
IMKT_A,M217-24
IMKT_A,M229-24
IMKT_A,M240-24
IMKT_A,M251-24
IMKT_A,M258-24
IMKT_A,BA007-24
IMKT_A,BA022-24
IMKT_A,BA024-24
IMKT_A,BA033-24
IMKT_A,BA036-24
IMKT_A,BA044-24
IMKT_A,BA047-24
IMKT_A,BA054-24
IMKT_A,IPM002-21
IMKT_A,IPM015-21
IMKT_A,IPM020-21
IMKT_A,IPM045-21
IMKT_A,IPM073-21
IMKT_A,IPM087-21
IMKT_A,M001-24
IMKT_A,M010-24
IMKT_A,M046-24
IMKT_A,M049-24
IMKT_A,M093-24
IMKT_A,M096-24
IMKT_A,M124-24
IMKT_A,M145-24
IMKT_A,M172-24
IMKT_A,M189-24
IMKT_A,M215-24
IMKT_A,M221-24
IMKT_A,M225-24
IMKT_A,M227-24
IMKT_A,M249-23
IMKT_A,M254-24
IMKT_A,M268-24
IMKT_B,BA010-24
IMKT_B,BA014-24
IMKT_B,BA025-24
IMKT_B,BA028-24
IMKT_B,BA037-24
IMKT_B,BA039-24
IMKT_B,BA048-24
IMKT_B,H047-24
IMKT_B,IPM039-21
IMKT_B,IPM061-21
IMKT_B,M010-23
IMKT_B,M013-24
IMKT_B,M049-23
IMKT_B,M067-24
IMKT_B,M126-24
IMKT_B,M130-24
IMKT_B,M132-24
IMKT_B,M144-24
IMKT_B,M152-24
IMKT_B,M154-24
IMKT_B,M165-24
IMKT_B,M184-24
IMKT_B,M186-23
IMKT_B,M200-23
IMKT_B,M205-24
IMKT_B,M214-24
IMKT_B,M230-24
IMKT_B,M235-24
IMKT_B,M237-24
IMKT_B,M248-24
IMKT_B,M271-24
IMKT_B,BA003-24
IMKT_B,BA004-24
IMKT_B,BA012-24
IMKT_B,BA030-24
IMKT_B,BA035-24
IMKT_B,BA041-24
IMKT_B,BA043-24
IMKT_B,BA052-24
IMKT_B,BA055-24
IMKT_B,H011-24
IMKT_B,IPM016-21
IMKT_B,IPM023-21
IMKT_B,IPM034-21
IMKT_B,IPM041-21
IMKT_B,IPM048-21
IMKT_B,IPM051-21
IMKT_B,IPM053-21
IMKT_B,IPM057-21
IMKT_B,IPM088-21
IMKT_B,IPM094-21
IMKT_B,IPM102-21
IMKT_B,IPM112-21
IMKT_B,IPM117-21
IMKT_B,M073-24
IMKT_B,M157-24
IMKT_B,M170-24
IMKT_B,M175-24
IMKT_B,M180-24
IMKT_B,M190-24
IMKT_B,M203-24
IMKT_B,M209-24
IMKT_B,M232-24
IMKT_B,M251-23
IMKT_B,M255-24
IMKT_B,M257-24
IMKT_B,M261-24
IMKT_B,M267-24
IMC_A,H026-24
IMC_A,IPM005-21
IMC_A,IPM008-21
IMC_A,IPM011-21
IMC_A,IPM043-21
IMC_A,IPM045-21
IMC_A,IPM050-21
IMC_A,IPM054-21
IMC_A,IPM067-21
IMC_A,IPM071-21
IMC_A,IPM110-21
IMC_A,IPM116-21
IMC_A,M003-24
IMC_A,M016-24
IMC_A,M034-23
IMC_A,M042-24
IMC_A,M046-24
IMC_A,M057-24
IMC_A,M070-24
IMC_A,M072-24
IMC_A,M098-24
IMC_A,M125-24
IMC_A,M129-24
IMC_A,M131-24
IMC_A,M133-24
IMC_A,M147-24
IMC_A,M151-24
IMC_A,M169-24
IMC_A,M174-24
IMC_A,M176-24
IMC_A,M182-24
IMC_A,M185-24
IMC_A,M208-24
IMC_A,M215-24
IMC_A,M256-24
IMC_A,BA013-24
IMC_A,BA026-24
IMC_A,BA044-24
IMC_A,IPM040-21
IMC_A,IPM052-21
IMC_A,IPM056-21
IMC_A,IPM079-21
IMC_A,IPM081-21
IMC_A,M023-24
IMC_A,M030-24
IMC_A,M066-24
IMC_A,M074-24
IMC_A,M076-24
IMC_A,M090-24
IMC_A,M107-24
IMC_A,M112-24
IMC_A,M116-24
IMC_A,M127-24
IMC_A,M137-24
IMC_A,M155-24
IMC_A,M159-24
IMC_A,M162-24
IMC_A,M191-24
IMC_A,M213-24
