slot_id,week,day,slot_code,start,end,room_capacity,is_sunday
W1_Mon_S1,1,Mon,S1,09:00,10:30,10,0
W1_Mon_S2,1,Mon,S2,10:45,12:15,10,0
W1_Mon_S3,1,Mon,S3,12:30,14:00,10,0
W1_Mon_S4,1,Mon,S4,14:45,16:15,10,0
W1_Mon_S5,1,Mon,S5,16:30,18:00,10,0
W1_Mon_S6,1,Mon,S6,18:15,19:45,10,0
W1_Tue_S1,1,Tue,S1,09:00,10:30,10,0
W1_Tue_S2,1,Tue,S2,10:45,12:15,10,0
W1_Tue_S3,1,Tue,S3,12:30,14:00,10,0
W1_Tue_S4,1,Tue,S4,14:45,16:15,10,0
W1_Tue_S5,1,Tue,S5,16:30,18:00,10,0
W1_Tue_S6,1,Tue,S6,18:15,19:45,10,0
W1_Wed_S1,1,Wed,S1,09:00,10:30,10,0
W1_Wed_S2,1,Wed,S2,10:45,12:15,10,0
W1_Wed_S3,1,Wed,S3,12:30,14:00,10,0
W1_Wed_S4,1,Wed,S4,14:45,16:15,10,0
W1_Wed_S5,1,Wed,S5,16:30,18:00,10,0
W1_Wed_S6,1,Wed,S6,18:15,19:45,10,0
W1_Thu_S1,1,Thu,S1,09:00,10:30,10,0
W1_Thu_S2,1,Thu,S2,10:45,12:15,10,0
W1_Thu_S3,1,Thu,S3,12:30,14:00,10,0
W1_Thu_S4,1,Thu,S4,14:45,16:15,10,0
W1_Thu_S5,1,Thu,S5,16:30,18:00,10,0
W1_Thu_S6,1,Thu,S6,18:15,19:45,10,0
W1_Fri_S1,1,Fri,S1,09:00,10:30,10,0
W1_Fri_S2,1,Fri,S2,10:45,12:15,10,0
W1_Fri_S3,1,Fri,S3,12:30,14:00,10,0
W1_Fri_S4,1,Fri,S4,14:45,16:15,10,0
W1_Fri_S5,1,Fri,S5,16:30,18:00,10,0
W1_Fri_S6,1,Fri,S6,18:15,19:45,10,0
W1_Sat_S1,1,Sat,S1,09:00,10:30,10,0
W1_Sat_S2,1,Sat,S2,10:45,12:15,10,0
W1_Sat_S3,1,Sat,S3,12:30,14:00,10,0
W1_Sat_S4,1,Sat,S4,14:45,16:15,10,0
W1_Sat_S5,1,Sat,S5,16:30,18:00,10,0
W1_Sat_S6,1,Sat,S6,18:15,19:45,10,0
W1_Sun_S1,1,Sun,S1,09:00,10:30,10,1
W1_Sun_S2,1,Sun,S2,10:45,12:15,10,1
W1_Sun_S3,1,Sun,S3,12:30,14:00,10,1
W1_Sun_S4,1,Sun,S4,15:30,17:00,10,1
W2_Mon_S1,2,Mon,S1,09:00,10:30,10,0
W2_Mon_S2,2,Mon,S2,10:45,12:15,10,0
W2_Mon_S3,2,Mon,S3,12:30,14:00,10,0
W2_Mon_S4,2,Mon,S4,14:45,16:15,10,0
W2_Mon_S5,2,Mon,S5,16:30,18:00,10,0
W2_Mon_S6,2,Mon,S6,18:15,19:45,10,0
W2_Tue_S1,2,Tue,S1,09:00,10:30,10,0
W2_Tue_S2,2,Tue,S2,10:45,12:15,10,0
W2_Tue_S3,2,Tue,S3,12:30,14:00,10,0
W2_Tue_S4,2,Tue,S4,14:45,16:15,10,0
W2_Tue_S5,2,Tue,S5,16:30,18:00,10,0
W2_Tue_S6,2,Tue,S6,18:15,19:45,10,0
W2_Wed_S1,2,Wed,S1,09:00,10:30,10,0
W2_Wed_S2,2,Wed,S2,10:45,12:15,10,0
W2_Wed_S3,2,Wed,S3,12:30,14:00,10,0
W2_Wed_S4,2,Wed,S4,14:45,16:15,10,0
W2_Wed_S5,2,Wed,S5,16:30,18:00,10,0
W2_Wed_S6,2,Wed,S6,18:15,19:45,10,0
W2_Thu_S1,2,Thu,S1,09:00,10:30,10,0
W2_Thu_S2,2,Thu,S2,10:45,12:15,10,0
W2_Thu_S3,2,Thu,S3,12:30,14:00,10,0
W2_Thu_S4,2,Thu,S4,14:45,16:15,10,0
W2_Thu_S5,2,Thu,S5,16:30,18:00,10,0
W2_Thu_S6,2,Thu,S6,18:15,19:45,10,0
W2_Fri_S1,2,Fri,S1,09:00,10:30,10,0
W2_Fri_S2,2,Fri,S2,10:45,12:15,10,0
W2_Fri_S3,2,Fri,S3,12:30,14:00,10,0
W2_Fri_S4,2,Fri,S4,14:45,16:15,10,0
W2_Fri_S5,2,Fri,S5,16:30,18:00,10,0
W2_Fri_S6,2,Fri,S6,18:15,19:45,10,0
W2_Sat_S1,2,Sat,S1,09:00,10:30,10,0
W2_Sat_S2,2,Sat,S2,10:45,12:15,10,0
W2_Sat_S3,2,Sat,S3,12:30,14:00,10,0
W2_Sat_S4,2,Sat,S4,14:45,16:15,10,0
W2_Sat_S5,2,Sat,S5,16:30,18:00,10,0
W2_Sat_S6,2,Sat,S6,18:15,19:45,10,0
W2_Sun_S1,2,Sun,S1,09:00,10:30,10,1
W2_Sun_S2,2,Sun,S2,10:45,12:15,10,1
W2_Sun_S3,2,Sun,S3,12:30,14:00,10,1
W2_Sun_S4,2,Sun,S4,15:30,17:00,10,1
W3_Mon_S1,3,Mon,S1,09:00,10:30,10,0
W3_Mon_S2,3,Mon,S2,10:45,12:15,10,0
W3_Mon_S3,3,Mon,S3,12:30,14:00,10,0
W3_Mon_S4,3,Mon,S4,14:45,16:15,10,0
W3_Mon_S5,3,Mon,S5,16:30,18:00,10,0
W3_Mon_S6,3,Mon,S6,18:15,19:45,10,0
W3_Tue_S1,3,Tue,S1,09:00,10:30,10,0
W3_Tue_S2,3,Tue,S2,10:45,12:15,10,0
W3_Tue_S3,3,Tue,S3,12:30,14:00,10,0
W3_Tue_S4,3,Tue,S4,14:45,16:15,10,0
W3_Tue_S5,3,Tue,S5,16:30,18:00,10,0
W3_Tue_S6,3,Tue,S6,18:15,19:45,10,0
W3_Wed_S1,3,Wed,S1,09:00,10:30,10,0
W3_Wed_S2,3,Wed,S2,10:45,12:15,10,0
W3_Wed_S3,3,Wed,S3,12:30,14:00,10,0
W3_Wed_S4,3,Wed,S4,14:45,16:15,10,0
W3_Wed_S5,3,Wed,S5,16:30,18:00,10,0
W3_Wed_S6,3,Wed,S6,18:15,19:45,10,0
W3_Thu_S1,3,Thu,S1,09:00,10:30,10,0
W3_Thu_S2,3,Thu,S2,10:45,12:15,10,0
W3_Thu_S3,3,Thu,S3,12:30,14:00,10,0
W3_Thu_S4,3,Thu,S4,14:45,16:15,10,0
W3_Thu_S5,3,Thu,S5,16:30,18:00,10,0
W3_Thu_S6,3,Thu,S6,18:15,19:45,10,0
W3_Fri_S1,3,Fri,S1,09:00,10:30,10,0
W3_Fri_S2,3,Fri,S2,10:45,12:15,10,0
W3_Fri_S3,3,Fri,S3,12:30,14:00,10,0
W3_Fri_S4,3,Fri,S4,14:45,16:15,10,0
W3_Fri_S5,3,Fri,S5,16:30,18:00,10,0
W3_Fri_S6,3,Fri,S6,18:15,19:45,10,0
W3_Sat_S1,3,Sat,S1,09:00,10:30,10,0
W3_Sat_S2,3,Sat,S2,10:45,12:15,10,0
W3_Sat_S3,3,Sat,S3,12:30,14:00,10,0
W3_Sat_S4,3,Sat,S4,14:45,16:15,10,0
W3_Sat_S5,3,Sat,S5,16:30,18:00,10,0
W3_Sat_S6,3,Sat,S6,18:15,19:45,10,0
W3_Sun_S1,3,Sun,S1,09:00,10:30,10,1
W3_Sun_S2,3,Sun,S2,10:45,12:15,10,1
W3_Sun_S3,3,Sun,S3,12:30,14:00,10,1
W3_Sun_S4,3,Sun,S4,15:30,17:00,10,1
W4_Mon_S1,4,Mon,S1,09:00,10:30,10,0
W4_Mon_S2,4,Mon,S2,10:45,12:15,10,0
W4_Mon_S3,4,Mon,S3,12:30,14:00,10,0
W4_Mon_S4,4,Mon,S4,14:45,16:15,10,0
W4_Mon_S5,4,Mon,S5,16:30,18:00,10,0
W4_Mon_S6,4,Mon,S6,18:15,19:45,10,0
W4_Tue_S1,4,Tue,S1,09:00,10:30,10,0
W4_Tue_S2,4,Tue,S2,10:45,12:15,10,0
W4_Tue_S3,4,Tue,S3,12:30,14:00,10,0
W4_Tue_S4,4,Tue,S4,14:45,16:15,10,0
W4_Tue_S5,4,Tue,S5,16:30,18:00,10,0
W4_Tue_S6,4,Tue,S6,18:15,19:45,10,0
W4_Wed_S1,4,Wed,S1,09:00,10:30,10,0
W4_Wed_S2,4,Wed,S2,10:45,12:15,10,0
W4_Wed_S3,4,Wed,S3,12:30,14:00,10,0
W4_Wed_S4,4,Wed,S4,14:45,16:15,10,0
W4_Wed_S5,4,Wed,S5,16:30,18:00,10,0
W4_Wed_S6,4,Wed,S6,18:15,19:45,10,0
W4_Thu_S1,4,Thu,S1,09:00,10:30,10,0
W4_Thu_S2,4,Thu,S2,10:45,12:15,10,0
W4_Thu_S3,4,Thu,S3,12:30,14:00,10,0
W4_Thu_S4,4,Thu,S4,14:45,16:15,10,0
W4_Thu_S5,4,Thu,S5,16:30,18:00,10,0
W4_Thu_S6,4,Thu,S6,18:15,19:45,10,0
W4_Fri_S1,4,Fri,S1,09:00,10:30,10,0
W4_Fri_S2,4,Fri,S2,10:45,12:15,10,0
W4_Fri_S3,4,Fri,S3,12:30,14:00,10,0
W4_Fri_S4,4,Fri,S4,14:45,16:15,10,0
W4_Fri_S5,4,Fri,S5,16:30,18:00,10,0
W4_Fri_S6,4,Fri,S6,18:15,19:45,10,0
W4_Sat_S1,4,Sat,S1,09:00,10:30,10,0
W4_Sat_S2,4,Sat,S2,10:45,12:15,10,0
W4_Sat_S3,4,Sat,S3,12:30,14:00,10,0
W4_Sat_S4,4,Sat,S4,14:45,16:15,10,0
W4_Sat_S5,4,Sat,S5,16:30,18:00,10,0
W4_Sat_S6,4,Sat,S6,18:15,19:45,10,0
W4_Sun_S1,4,Sun,S1,09:00,10:30,10,1
W4_Sun_S2,4,Sun,S2,10:45,12:15,10,1
W4_Sun_S3,4,Sun,S3,12:30,14:00,10,1
W4_Sun_S4,4,Sun,S4,15:30,17:00,10,1
W5_Mon_S1,5,Mon,S1,09:00,10:30,4,0
W5_Mon_S2,5,Mon,S2,10:45,12:15,4,0
W5_Mon_S3,5,Mon,S3,12:30,14:00,4,0
W5_Mon_S4,5,Mon,S4,14:45,16:15,4,0
W5_Mon_S5,5,Mon,S5,16:30,18:00,4,0
W5_Mon_S6,5,Mon,S6,18:15,19:45,4,0
W5_Tue_S1,5,Tue,S1,09:00,10:30,4,0
W5_Tue_S2,5,Tue,S2,10:45,12:15,4,0
W5_Tue_S3,5,Tue,S3,12:30,14:00,4,0
W5_Tue_S4,5,Tue,S4,14:45,16:15,4,0
W5_Tue_S5,5,Tue,S5,16:30,18:00,4,0
W5_Tue_S6,5,Tue,S6,18:15,19:45,4,0
W5_Wed_S1,5,Wed,S1,09:00,10:30,4,0
W5_Wed_S2,5,Wed,S2,10:45,12:15,4,0
W5_Wed_S3,5,Wed,S3,12:30,14:00,4,0
W5_Wed_S4,5,Wed,S4,14:45,16:15,4,0
W5_Wed_S5,5,Wed,S5,16:30,18:00,4,0
W5_Wed_S6,5,Wed,S6,18:15,19:45,4,0
W5_Thu_S1,5,Thu,S1,09:00,10:30,4,0
W5_Thu_S2,5,Thu,S2,10:45,12:15,4,0
W5_Thu_S3,5,Thu,S3,12:30,14:00,4,0
W5_Thu_S4,5,Thu,S4,14:45,16:15,4,0
W5_Thu_S5,5,Thu,S5,16:30,18:00,4,0
W5_Thu_S6,5,Thu,S6,18:15,19:45,4,0
W5_Fri_S1,5,Fri,S1,09:00,10:30,4,0
W5_Fri_S2,5,Fri,S2,10:45,12:15,4,0
W5_Fri_S3,5,Fri,S3,12:30,14:00,4,0
W5_Fri_S4,5,Fri,S4,14:45,16:15,4,0
W5_Fri_S5,5,Fri,S5,16:30,18:00,4,0
W5_Fri_S6,5,Fri,S6,18:15,19:45,4,0
W5_Sat_S1,5,Sat,S1,09:00,10:30,4,0
W5_Sat_S2,5,Sat,S2,10:45,12:15,4,0
W5_Sat_S3,5,Sat,S3,12:30,14:00,4,0
W5_Sat_S4,5,Sat,S4,14:45,16:15,4,0
W5_Sat_S5,5,Sat,S5,16:30,18:00,4,0
W5_Sat_S6,5,Sat,S6,18:15,19:45,4,0
W5_Sun_S1,5,Sun,S1,09:00,10:30,4,1
W5_Sun_S2,5,Sun,S2,10:45,12:15,4,1
W5_Sun_S3,5,Sun,S3,12:30,14:00,4,1
W5_Sun_S4,5,Sun,S4,15:30,17:00,4,1
W6_Mon_S1,6,Mon,S1,09:00,10:30,4,0
W6_Mon_S2,6,Mon,S2,10:45,12:15,4,0
W6_Mon_S3,6,Mon,S3,12:30,14:00,4,0
W6_Mon_S4,6,Mon,S4,14:45,16:15,4,0
W6_Mon_S5,6,Mon,S5,16:30,18:00,4,0
W6_Mon_S6,6,Mon,S6,18:15,19:45,4,0
W6_Tue_S1,6,Tue,S1,09:00,10:30,4,0
W6_Tue_S2,6,Tue,S2,10:45,12:15,4,0
W6_Tue_S3,6,Tue,S3,12:30,14:00,4,0
W6_Tue_S4,6,Tue,S4,14:45,16:15,4,0
W6_Tue_S5,6,Tue,S5,16:30,18:00,4,0
W6_Tue_S6,6,Tue,S6,18:15,19:45,4,0
W6_Wed_S1,6,Wed,S1,09:00,10:30,4,0
W6_Wed_S2,6,Wed,S2,10:45,12:15,4,0
W6_Wed_S3,6,Wed,S3,12:30,14:00,4,0
W6_Wed_S4,6,Wed,S4,14:45,16:15,4,0
W6_Wed_S5,6,Wed,S5,16:30,18:00,4,0
W6_Wed_S6,6,Wed,S6,18:15,19:45,4,0
W6_Thu_S1,6,Thu,S1,09:00,10:30,4,0
W6_Thu_S2,6,Thu,S2,10:45,12:15,4,0
W6_Thu_S3,6,Thu,S3,12:30,14:00,4,0
W6_Thu_S4,6,Thu,S4,14:45,16:15,4,0
W6_Thu_S5,6,Thu,S5,16:30,18:00,4,0
W6_Thu_S6,6,Thu,S6,18:15,19:45,4,0
W6_Fri_S1,6,Fri,S1,09:00,10:30,4,0
W6_Fri_S2,6,Fri,S2,10:45,12:15,4,0
W6_Fri_S3,6,Fri,S3,12:30,14:00,4,0
W6_Fri_S4,6,Fri,S4,14:45,16:15,4,0
W6_Fri_S5,6,Fri,S5,16:30,18:00,4,0
W6_Fri_S6,6,Fri,S6,18:15,19:45,4,0
W6_Sat_S1,6,Sat,S1,09:00,10:30,4,0
W6_Sat_S2,6,Sat,S2,10:45,12:15,4,0
W6_Sat_S3,6,Sat,S3,12:30,14:00,4,0
W6_Sat_S4,6,Sat,S4,14:45,16:15,4,0
W6_Sat_S5,6,Sat,S5,16:30,18:00,4,0
W6_Sat_S6,6,Sat,S6,18:15,19:45,4,0
W6_Sun_S1,6,Sun,S1,09:00,10:30,4,1
W6_Sun_S2,6,Sun,S2,10:45,12:15,4,1
W6_Sun_S3,6,Sun,S3,12:30,14:00,4,1
W6_Sun_S4,6,Sun,S4,15:30,17:00,4,1
W7_Mon_S1,7,Mon,S1,09:00,10:30,4,0
W7_Mon_S2,7,Mon,S2,10:45,12:15,4,0
W7_Mon_S3,7,Mon,S3,12:30,14:00,4,0
W7_Mon_S4,7,Mon,S4,14:45,16:15,4,0
W7_Mon_S5,7,Mon,S5,16:30,18:00,4,0
W7_Mon_S6,7,Mon,S6,18:15,19:45,4,0
W7_Tue_S1,7,Tue,S1,09:00,10:30,4,0
W7_Tue_S2,7,Tue,S2,10:45,12:15,4,0
W7_Tue_S3,7,Tue,S3,12:30,14:00,4,0
W7_Tue_S4,7,Tue,S4,14:45,16:15,4,0
W7_Tue_S5,7,Tue,S5,16:30,18:00,4,0
W7_Tue_S6,7,Tue,S6,18:15,19:45,4,0
W7_Wed_S1,7,Wed,S1,09:00,10:30,4,0
W7_Wed_S2,7,Wed,S2,10:45,12:15,4,0
W7_Wed_S3,7,Wed,S3,12:30,14:00,4,0
W7_Wed_S4,7,Wed,S4,14:45,16:15,4,0
W7_Wed_S5,7,Wed,S5,16:30,18:00,4,0
W7_Wed_S6,7,Wed,S6,18:15,19:45,4,0
W7_Thu_S1,7,Thu,S1,09:00,10:30,4,0
W7_Thu_S2,7,Thu,S2,10:45,12:15,4,0
W7_Thu_S3,7,Thu,S3,12:30,14:00,4,0
W7_Thu_S4,7,Thu,S4,14:45,16:15,4,0
W7_Thu_S5,7,Thu,S5,16:30,18:00,4,0
W7_Thu_S6,7,Thu,S6,18:15,19:45,4,0
W7_Fri_S1,7,Fri,S1,09:00,10:30,4,0
W7_Fri_S2,7,Fri,S2,10:45,12:15,4,0
W7_Fri_S3,7,Fri,S3,12:30,14:00,4,0
W7_Fri_S4,7,Fri,S4,14:45,16:15,4,0
W7_Fri_S5,7,Fri,S5,16:30,18:00,4,0
W7_Fri_S6,7,Fri,S6,18:15,19:45,4,0
W7_Sat_S1,7,Sat,S1,09:00,10:30,4,0
W7_Sat_S2,7,Sat,S2,10:45,12:15,4,0
W7_Sat_S3,7,Sat,S3,12:30,14:00,4,0
W7_Sat_S4,7,Sat,S4,14:45,16:15,4,0
W7_Sat_S5,7,Sat,S5,16:30,18:00,4,0
W7_Sat_S6,7,Sat,S6,18:15,19:45,4,0
W7_Sun_S1,7,Sun,S1,09:00,10:30,4,1
W7_Sun_S2,7,Sun,S2,10:45,12:15,4,1
W7_Sun_S3,7,Sun,S3,12:30,14:00,4,1
W7_Sun_S4,7,Sun,S4,15:30,17:00,4,1
W8_Mon_S1,8,Mon,S1,09:00,10:30,4,0
W8_Mon_S2,8,Mon,S2,10:45,12:15,4,0
W8_Mon_S3,8,Mon,S3,12:30,14:00,4,0
W8_Mon_S4,8,Mon,S4,14:45,16:15,4,0
W8_Mon_S5,8,Mon,S5,16:30,18:00,4,0
W8_Mon_S6,8,Mon,S6,18:15,19:45,4,0
W8_Tue_S1,8,Tue,S1,09:00,10:30,4,0
W8_Tue_S2,8,Tue,S2,10:45,12:15,4,0
W8_Tue_S3,8,Tue,S3,12:30,14:00,4,0
W8_Tue_S4,8,Tue,S4,14:45,16:15,4,0
W8_Tue_S5,8,Tue,S5,16:30,18:00,4,0
W8_Tue_S6,8,Tue,S6,18:15,19:45,4,0
W8_Wed_S1,8,Wed,S1,09:00,10:30,4,0
W8_Wed_S2,8,Wed,S2,10:45,12:15,4,0
W8_Wed_S3,8,Wed,S3,12:30,14:00,4,0
W8_Wed_S4,8,Wed,S4,14:45,16:15,4,0
W8_Wed_S5,8,Wed,S5,16:30,18:00,4,0
W8_Wed_S6,8,Wed,S6,18:15,19:45,4,0
W8_Thu_S1,8,Thu,S1,09:00,10:30,4,0
W8_Thu_S2,8,Thu,S2,10:45,12:15,4,0
W8_Thu_S3,8,Thu,S3,12:30,14:00,4,0
W8_Thu_S4,8,Thu,S4,14:45,16:15,4,0
W8_Thu_S5,8,Thu,S5,16:30,18:00,4,0
W8_Thu_S6,8,Thu,S6,18:15,19:45,4,0
W8_Fri_S1,8,Fri,S1,09:00,10:30,4,0
W8_Fri_S2,8,Fri,S2,10:45,12:15,4,0
W8_Fri_S3,8,Fri,S3,12:30,14:00,4,0
W8_Fri_S4,8,Fri,S4,14:45,16:15,4,0
W8_Fri_S5,8,Fri,S5,16:30,18:00,4,0
W8_Fri_S6,8,Fri,S6,18:15,19:45,4,0
W8_Sat_S1,8,Sat,S1,09:00,10:30,4,0
W8_Sat_S2,8,Sat,S2,10:45,12:15,4,0
W8_Sat_S3,8,Sat,S3,12:30,14:00,4,0
W8_Sat_S4,8,Sat,S4,14:45,16:15,4,0
W8_Sat_S5,8,Sat,S5,16:30,18:00,4,0
W8_Sat_S6,8,Sat,S6,18:15,19:45,4,0
W8_Sun_S1,8,Sun,S1,09:00,10:30,4,1
W8_Sun_S2,8,Sun,S2,10:45,12:15,4,1
W8_Sun_S3,8,Sun,S3,12:30,14:00,4,1
W8_Sun_S4,8,Sun,S4,15:30,17:00,4,1
W9_Mon_S1,9,Mon,S1,09:00,10:30,4,0
W9_Mon_S2,9,Mon,S2,10:45,12:15,4,0
W9_Mon_S3,9,Mon,S3,12:30,14:00,4,0
W9_Mon_S4,9,Mon,S4,14:45,16:15,4,0
W9_Mon_S5,9,Mon,S5,16:30,18:00,4,0
W9_Mon_S6,9,Mon,S6,18:15,19:45,4,0
W9_Tue_S1,9,Tue,S1,09:00,10:30,4,0
W9_Tue_S2,9,Tue,S2,10:45,12:15,4,0
W9_Tue_S3,9,Tue,S3,12:30,14:00,4,0
W9_Tue_S4,9,Tue,S4,14:45,16:15,4,0
W9_Tue_S5,9,Tue,S5,16:30,18:00,4,0
W9_Tue_S6,9,Tue,S6,18:15,19:45,4,0
W9_Wed_S1,9,Wed,S1,09:00,10:30,4,0
W9_Wed_S2,9,Wed,S2,10:45,12:15,4,0
W9_Wed_S3,9,Wed,S3,12:30,14:00,4,0
W9_Wed_S4,9,Wed,S4,14:45,16:15,4,0
W9_Wed_S5,9,Wed,S5,16:30,18:00,4,0
W9_Wed_S6,9,Wed,S6,18:15,19:45,4,0
W9_Thu_S1,9,Thu,S1,09:00,10:30,4,0
W9_Thu_S2,9,Thu,S2,10:45,12:15,4,0
W9_Thu_S3,9,Thu,S3,12:30,14:00,4,0
W9_Thu_S4,9,Thu,S4,14:45,16:15,4,0
W9_Thu_S5,9,Thu,S5,16:30,18:00,4,0
W9_Thu_S6,9,Thu,S6,18:15,19:45,4,0
W9_Fri_S1,9,Fri,S1,09:00,10:30,4,0
W9_Fri_S2,9,Fri,S2,10:45,12:15,4,0
W9_Fri_S3,9,Fri,S3,12:30,14:00,4,0
W9_Fri_S4,9,Fri,S4,14:45,16:15,4,0
W9_Fri_S5,9,Fri,S5,16:30,18:00,4,0
W9_Fri_S6,9,Fri,S6,18:15,19:45,4,0
W9_Sat_S1,9,Sat,S1,09:00,10:30,4,0
W9_Sat_S2,9,Sat,S2,10:45,12:15,4,0
W9_Sat_S3,9,Sat,S3,12:30,14:00,4,0
W9_Sat_S4,9,Sat,S4,14:45,16:15,4,0
W9_Sat_S5,9,Sat,S5,16:30,18:00,4,0
W9_Sat_S6,9,Sat,S6,18:15,19:45,4,0
W9_Sun_S1,9,Sun,S1,09:00,10:30,4,1
W9_Sun_S2,9,Sun,S2,10:45,12:15,4,1
W9_Sun_S3,9,Sun,S3,12:30,14:00,4,1
W9_Sun_S4,9,Sun,S4,15:30,17:00,4,1
W10_Mon_S1,10,Mon,S1,09:00,10:30,4,0
W10_Mon_S2,10,Mon,S2,10:45,12:15,4,0
W10_Mon_S3,10,Mon,S3,12:30,14:00,4,0
W10_Mon_S4,10,Mon,S4,14:45,16:15,4,0
W10_Mon_S5,10,Mon,S5,16:30,18:00,4,0
W10_Mon_S6,10,Mon,S6,18:15,19:45,4,0
W10_Tue_S1,10,Tue,S1,09:00,10:30,4,0
W10_Tue_S2,10,Tue,S2,10:45,12:15,4,0
W10_Tue_S3,10,Tue,S3,12:30,14:00,4,0
W10_Tue_S4,10,Tue,S4,14:45,16:15,4,0
W10_Tue_S5,10,Tue,S5,16:30,18:00,4,0
W10_Tue_S6,10,Tue,S6,18:15,19:45,4,0
W10_Wed_S1,10,Wed,S1,09:00,10:30,4,0
W10_Wed_S2,10,Wed,S2,10:45,12:15,4,0
W10_Wed_S3,10,Wed,S3,12:30,14:00,4,0
W10_Wed_S4,10,Wed,S4,14:45,16:15,4,0
W10_Wed_S5,10,Wed,S5,16:30,18:00,4,0
W10_Wed_S6,10,Wed,S6,18:15,19:45,4,0
W10_Thu_S1,10,Thu,S1,09:00,10:30,4,0
W10_Thu_S2,10,Thu,S2,10:45,12:15,4,0
W10_Thu_S3,10,Thu,S3,12:30,14:00,4,0
W10_Thu_S4,10,Thu,S4,14:45,16:15,4,0
W10_Thu_S5,10,Thu,S5,16:30,18:00,4,0
W10_Thu_S6,10,Thu,S6,18:15,19:45,4,0
W10_Fri_S1,10,Fri,S1,09:00,10:30,4,0
W10_Fri_S2,10,Fri,S2,10:45,12:15,4,0
W10_Fri_S3,10,Fri,S3,12:30,14:00,4,0
W10_Fri_S4,10,Fri,S4,14:45,16:15,4,0
W10_Fri_S5,10,Fri,S5,16:30,18:00,4,0
W10_Fri_S6,10,Fri,S6,18:15,19:45,4,0
W10_Sat_S1,10,Sat,S1,09:00,10:30,4,0
W10_Sat_S2,10,Sat,S2,10:45,12:15,4,0
W10_Sat_S3,10,Sat,S3,12:30,14:00,4,0
W10_Sat_S4,10,Sat,S4,14:45,16:15,4,0
W10_Sat_S5,10,Sat,S5,16:30,18:00,4,0
W10_Sat_S6,10,Sat,S6,18:15,19:45,4,0
W10_Sun_S1,10,Sun,S1,09:00,10:30,4,1
W10_Sun_S2,10,Sun,S2,10:45,12:15,4,1
W10_Sun_S3,10,Sun,S3,12:30,14:00,4,1
W10_Sun_S4,10,Sun,S4,15:30,17:00,4,1
